week,con,con_users,con_norm,fav,fav_users,fav_norm,bot,bot_users,bot_norm
1,546635,43775,12.48737864,633621,45245,14.00422146,48607,4461,10.89598745
2,512020,43150,11.86604867,975166,47584,20.49356927,52924,4730,11.18900634
3,609073,45626,13.34925262,1775135,51511,34.46128011,56742,4846,11.70903838
4,636153,46531,13.67159528,1437418,52417,27.42274453,56581,4881,11.59209178
5,401848,40328,9.964491172,706344,46110,15.31867274,47554,4711,10.09424751
6,469117,42771,10.96810923,680847,46050,14.78495114,45192,4643,9.73336205
7,465779,40348,11.54404184,832270,46939,17.73088477,44792,4602,9.733159496
8,302053,35795,8.438413186,396125,41251,9.602797508,40704,4509,9.027278776
9,267926,34123,7.851771532,481449,42398,11.35546488,40079,4392,9.125455373
10,254585,33105,7.690228062,376148,39374,9.553207701,37572,4264,8.811444653
11,495464,42379,11.69126218,747241,49471,15.10462695,44920,4390,10.23234624
12,306353,33024,9.276677568,513177,39682,12.93223628,41206,4165,9.893397359
13,359479,35013,10.26701511,553777,41452,13.35947602,52922,4146,12.76459238
14,267225,31520,8.477950508,472112,39192,12.04613186,37394,3940,9.490862944
15,264649,30686,8.62442156,374901,35375,10.59790813,38851,3801,10.22125756
16,281591,30376,9.270180406,648328,40068,16.18069282,39687,3743,10.60299225
17,158295,23312,6.790279684,404405,34800,11.62083333,30766,3453,8.909933391
18,130502,22886,5.702263392,286639,31471,9.10803597,25018,3158,7.922102597
19,88812,20101,4.418287647,179205,26383,6.792442103,14658,2600,5.637692308
20,117684,21740,5.41324747,191383,26709,7.165487289,22174,2908,7.625171939
21,113124,20154,5.612980054,195797,25541,7.665988019,22748,2831,8.035323207
22,104522,20266,5.157505181,164764,25017,6.586081465,22825,2925,7.803418803
23,158496,23152,6.845888044,135377,23280,5.81516323,21401,2878,7.436066713
24,91880,17589,5.22371937,158988,22473,7.074622881,19703,2657,7.41550621
25,106707,18474,5.776063657,213264,25747,8.283062104,21793,2682,8.125652498
26,142617,22661,6.293499846,226723,25882,8.759871726,21192,2740,7.734306569
27,88655,17834,4.971122575,161608,22538,7.170467655,21279,2682,7.934004474
28,61088,14482,4.218201906,120434,18837,6.393480915,17982,2498,7.198558847
29,110234,19177,5.748240079,187294,23440,7.990358362,23191,2609,8.888846301
30,100531,18177,5.530670628,161921,21695,7.463516939,25517,2731,9.343463933
31,110251,19534,5.644056517,148804,21822,6.81899001,22671,2731,8.301354815
32,119126,20131,5.917540112,218651,23807,9.184315537,25562,2861,8.934638238
33,192629,24853,7.750734318,268188,25071,10.69714012,27221,2963,9.186972663
34,179407,23573,7.610698681,268737,25421,10.57145667,28805,2994,9.620908484
35,160596,21462,7.482806821,234402,25582,9.162770698,24520,2594,9.452582884
36,172752,23442,7.369337087,239816,25703,9.330272731,24557,2593,9.470497493